x,y,potential
7.97885,0,-0.6
7.97858,0.06477,-0.6
7.97779,0.129536,-0.6
7.97648,0.194293,-0.6
7.97464,0.259037,-0.6
7.97227,0.323765,-0.6
7.96938,0.388471,-0.6
7.96597,0.453151,-0.6
7.96203,0.517802,-0.6
7.95756,0.582418,-0.6
7.95257,0.646996,-0.6
7.94706,0.711532,-0.6
7.94102,0.77602,-0.6
7.93446,0.840458,-0.6
7.92737,0.90484,-0.6
7.91977,0.969162,-0.6
7.91164,1.03342,-0.6
7.90299,1.09761,-0.6
7.89382,1.16173,-0.6
7.88413,1.22577,-0.6
7.87392,1.28973,-0.6
7.86319,1.35361,-0.6
7.85194,1.41739,-0.6
7.84018,1.48109,-0.6
7.8198,1.58515,-0.6
7.8151,1.60818,-0.559991
7.80179,1.67156,-0.480991
7.78796,1.73484,-0.432072
7.77362,1.79801,-0.394456
7.75877,1.86105,-0.362687
7.7434,1.92397,-0.334595
7.72753,1.98677,-0.309078
7.71115,2.04943,-0.285486
7.69426,2.11196,-0.263391
7.67686,2.17435,-0.242498
7.65896,2.2366,-0.222586
7.64055,2.2987,-0.20349
7.62164,2.36065,-0.185077
7.60222,2.42244,-0.167241
7.58231,2.48407,-0.149894
7.56189,2.54554,-0.132961
7.54098,2.60684,-0.11638
7.51957,2.66797,-0.100093
7.49766,2.72893,-0.0840503
7.47526,2.7897,-0.0682077
7.45237,2.85029,-0.0525235
7.42899,2.91069,-0.036959
7.40511,2.9709,-0.0214776
7.38075,3.03092,-0.00604401
7.35591,3.09073,0.00937628
7.33057,3.15034,0.0248176
7.30476,3.20975,0.0403145
7.27846,3.26894,0.0559026
7.25169,3.32792,0.0716188
7.22443,3.38667,0.0875023
7.1967,3.44521,0.103595
7.1685,3.50352,0.119944
7.13982,3.56159,0.136599
7.11067,3.61943,0.153618
7.08106,3.67704,0.171067
7.05097,3.7344,0.189023
7.02043,3.79151,0.207577
6.98942,3.84838,0.226842
6.95795,3.90499,0.246954
6.92602,3.96134,0.26809
6.89363,4.01744,0.290482
6.86079,4.07326,0.31445
6.8275,4.12882,0.340453
6.79376,4.18411,0.369205
6.75957,4.23912,0.401929
6.72494,4.29386,0.441093
6.68986,4.34831,0.493167
6.65031,4.40856,0.6
6.61838,4.45634,0.6
6.58199,4.50992,0.6
6.54516,4.5632,0.6
6.5079,4.61619,0.6
6.47022,4.66886,0.6
6.4321,4.72123,0.6
6.39356,4.77329,0.6
6.35461,4.82503,0.6
6.31523,4.87646,0.6
